Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1245020,-,-,-,40.77,-73.98,-5,19,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,19,30,0,0,-3,0.070100002,2.5,77.98,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,20,0,0,0,-3,0.070100002,2.4,79.39,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,20,30,0,0,-3,0.070100002,2.3,79.37,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,21,0,0,0,-2,0.070100002,2.2,80.85,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,21,30,0,0,-2,0.070100002,2.1,80.85,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,22,0,0,0,-2,0.070100002,2,82.55,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,22,30,0,0,-2,0.070100002,1.9,82.56,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,23,0,0,0,-2,0.070100002,1.9,83.66,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,1,23,30,0,0,-2,0.070100002,1.8,83.67,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,0,0,0,0,-2,0.070100002,1.7,83.7,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,0,30,0,0,-2,0.070100002,1.6,83.72,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,1,0,0,0,-2,0.070100002,1.6,83.28,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,1,30,0,0,-2,0.070100002,1.5,83.29,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
